Step,Reward,Phase,Contact,GraspForce,CubeHeight
0,0.000000,grasp,True,0.600,0.050
1,0.000000,grasp,True,0.600,0.050
2,0.000000,grasp,True,0.600,0.050
3,0.000000,grasp,True,0.600,0.050
4,0.000000,grasp,True,0.600,0.050
5,0.000000,grasp,True,0.600,0.050
6,0.000000,grasp,True,0.600,0.050
7,0.000000,grasp,True,0.600,0.050
8,0.000000,grasp,True,0.600,0.050
9,0.000000,grasp,True,0.600,0.050
10,0.000000,grasp,True,0.600,0.050
11,0.000000,grasp,True,0.600,0.050
12,0.000000,grasp,True,0.600,0.050
13,0.000000,grasp,True,0.600,0.050
14,0.000000,grasp,True,0.600,0.050
15,0.000000,grasp,True,0.600,0.050
16,0.000000,grasp,True,0.600,0.050
17,0.000000,grasp,True,0.600,0.050
18,0.000000,grasp,True,0.600,0.050
19,0.000000,grasp,True,0.600,0.050
20,0.000000,grasp,True,0.600,0.050
21,0.000000,grasp,True,0.600,0.050
22,0.000000,grasp,True,0.600,0.050
23,0.000000,grasp,True,0.600,0.050
24,0.000000,grasp,True,0.600,0.050
25,0.000000,grasp,True,0.600,0.050
26,0.000000,grasp,True,0.600,0.050
27,0.000000,grasp,True,0.600,0.050
28,0.000000,grasp,True,0.600,0.050
29,0.000000,grasp,True,0.600,0.050
30,0.000000,grasp,True,0.600,0.050
31,0.000000,grasp,True,0.600,0.050
32,0.000000,grasp,True,0.600,0.050
33,0.000000,grasp,True,0.600,0.050
34,10.000000,grasp,True,0.600,0.050
35,10.000000,grasp,True,0.600,0.050
36,13.900000,grasp,True,0.600,0.050
37,13.900000,grasp,True,0.600,0.050
38,13.900000,grasp,True,0.600,0.050
39,13.900000,grasp,True,0.600,0.050
40,13.900000,grasp,True,0.600,0.050
41,13.900000,grasp,True,0.600,0.050
42,13.900000,grasp,True,0.600,0.050
43,13.900000,grasp,True,0.600,0.050
44,13.900000,grasp,True,0.600,0.050
45,13.900000,grasp,True,0.600,0.050
46,13.900000,grasp,True,0.600,0.050
47,13.900000,grasp,True,0.600,0.050
48,13.900000,grasp,True,0.600,0.050
49,13.900000,grasp,True,0.600,0.050
50,13.900000,grasp,True,0.600,0.050
51,13.900000,grasp,True,0.600,0.050
52,13.900000,grasp,True,0.600,0.050
53,13.900000,grasp,True,0.600,0.050
54,13.900000,grasp,True,0.600,0.050
55,13.900000,grasp,True,0.600,0.050
56,13.900000,grasp,True,0.600,0.050
57,13.900000,grasp,True,0.600,0.050
58,13.900000,grasp,True,0.600,0.050
59,13.900000,grasp,True,0.600,0.050
60,13.900000,grasp,True,0.600,0.050
61,13.900000,grasp,True,0.600,0.050
62,13.900000,grasp,True,0.600,0.050
63,13.900000,grasp,True,0.600,0.050
64,13.900000,grasp,True,0.600,0.050
65,13.900000,grasp,True,0.600,0.050
66,13.900000,grasp,True,0.600,0.050
67,13.900000,grasp,True,0.600,0.050
68,13.900000,grasp,True,0.600,0.050
69,13.900000,grasp,True,0.600,0.050
70,13.900000,grasp,True,0.600,0.050
71,13.900000,grasp,True,0.600,0.050
72,13.900000,grasp,True,0.600,0.050
73,13.900000,grasp,True,0.600,0.050
74,13.900000,grasp,True,0.600,0.050
75,13.900000,grasp,True,0.600,0.050
76,13.900000,grasp,True,0.600,0.050
77,13.900000,grasp,True,0.600,0.050
78,13.900000,grasp,True,0.600,0.050
79,13.900000,grasp,True,0.600,0.050
80,13.900000,grasp,True,0.600,0.050
81,13.900000,grasp,True,0.600,0.050
82,13.900000,grasp,True,0.600,0.050
83,13.900000,grasp,True,0.600,0.050
84,13.900000,grasp,True,0.600,0.050
85,13.900000,grasp,True,0.600,0.050
86,13.900000,grasp,True,0.600,0.050
87,13.900000,grasp,True,0.600,0.050
88,13.900000,grasp,True,0.600,0.050
89,13.900000,grasp,True,0.600,0.050
90,13.900000,grasp,True,0.600,0.050
91,13.900000,grasp,True,0.600,0.050
92,13.900000,grasp,True,0.600,0.050
93,13.900000,grasp,True,0.600,0.050
94,13.900000,grasp,True,0.600,0.050
95,13.900000,grasp,True,0.600,0.050
96,13.900000,grasp,True,0.600,0.050
97,13.900000,grasp,True,0.600,0.050
98,13.900000,grasp,True,0.600,0.050
99,13.900000,grasp,True,0.600,0.050
100,13.900000,grasp,True,0.600,0.050
101,13.900000,grasp,True,0.600,0.050
102,13.900000,grasp,True,0.600,0.050
103,13.900000,grasp,True,0.600,0.050
104,13.900000,grasp,True,0.600,0.050
105,13.900000,grasp,True,0.600,0.050
106,13.900000,grasp,True,0.600,0.050
107,13.900000,grasp,True,0.600,0.050
108,13.900000,grasp,True,0.600,0.050
109,13.900000,grasp,True,0.600,0.050
110,13.900000,grasp,True,0.600,0.050
111,13.900000,grasp,True,0.600,0.050
112,13.900000,grasp,True,0.600,0.050
113,13.900000,grasp,True,0.600,0.050
114,13.900000,grasp,True,0.600,0.050
115,13.900000,grasp,True,0.600,0.050
116,13.900000,grasp,True,0.600,0.050
117,13.900000,grasp,True,0.600,0.050
118,13.900000,grasp,True,0.600,0.050
119,13.900000,grasp,True,0.600,0.050
120,13.900000,grasp,True,0.600,0.050
121,13.900000,grasp,True,0.600,0.050
122,13.900000,grasp,True,0.600,0.050
123,13.900000,grasp,True,0.600,0.050
124,13.900000,grasp,True,0.600,0.050
125,13.900000,grasp,True,0.600,0.050
126,13.900000,grasp,True,0.600,0.050
127,13.900000,grasp,True,0.600,0.050
128,13.900000,grasp,True,0.600,0.050
129,13.900000,grasp,True,0.600,0.050
130,13.900000,grasp,True,0.600,0.050
131,13.900000,grasp,True,0.600,0.050
132,13.900000,grasp,True,0.600,0.050
133,13.900000,grasp,True,0.600,0.050
134,13.900000,grasp,True,0.600,0.050
135,13.900000,grasp,True,0.600,0.050
136,13.900000,grasp,True,0.600,0.050
137,13.900000,grasp,True,0.600,0.050
138,13.900000,grasp,True,0.600,0.050
139,13.900000,grasp,True,0.600,0.050
140,13.900000,grasp,True,0.600,0.050
141,13.900000,grasp,True,0.600,0.050
142,13.900000,grasp,True,0.600,0.050
143,13.900000,grasp,True,0.600,0.050
144,13.900000,grasp,True,0.600,0.050
145,13.900000,grasp,True,0.600,0.050
146,13.900000,grasp,True,0.600,0.050
147,13.900000,grasp,True,0.600,0.050
148,13.900000,grasp,True,0.600,0.050
149,13.900000,grasp,True,0.600,0.050
150,13.900000,grasp,True,0.600,0.050
151,13.900000,grasp,True,0.600,0.050
152,13.900000,grasp,True,0.600,0.050
153,13.900000,grasp,True,0.600,0.050
154,13.900000,grasp,True,0.600,0.050
155,13.900000,grasp,True,0.600,0.050
156,13.900000,grasp,True,0.600,0.050
157,13.900000,grasp,True,0.600,0.050
158,13.900000,grasp,True,0.600,0.050
159,13.900000,grasp,True,0.600,0.050
160,13.900000,grasp,True,0.600,0.050
161,13.900000,grasp,True,0.600,0.050
162,13.900000,grasp,True,0.600,0.050
163,13.900000,grasp,True,0.600,0.050
164,13.900000,grasp,True,0.600,0.050
165,13.900000,grasp,True,0.600,0.050
166,13.900000,grasp,True,0.600,0.050
167,13.900000,grasp,True,0.600,0.050
168,13.900000,grasp,True,0.600,0.050
169,13.900000,grasp,True,0.600,0.050
170,13.900000,grasp,True,0.600,0.050
171,13.900000,grasp,True,0.600,0.050
172,13.900000,grasp,True,0.600,0.050
173,13.900000,grasp,True,0.600,0.050
174,13.900000,grasp,True,0.600,0.050
175,13.900000,grasp,True,0.600,0.050
176,13.900000,grasp,True,0.600,0.050
177,13.900000,grasp,True,0.600,0.050
178,13.900000,grasp,True,0.600,0.050
179,13.900000,grasp,True,0.600,0.050
180,13.900000,grasp,True,0.600,0.050
181,13.900000,grasp,True,0.600,0.050
182,13.900000,grasp,True,0.600,0.050
183,13.900000,grasp,True,0.600,0.050
184,13.900000,grasp,True,0.600,0.050
185,13.900000,grasp,True,0.600,0.050
186,13.900000,grasp,True,0.600,0.050
187,13.900000,grasp,True,0.600,0.050
188,13.900000,grasp,True,0.600,0.050
189,13.900000,grasp,True,0.600,0.050
190,13.900000,grasp,True,0.600,0.050
191,13.900000,grasp,True,0.600,0.050
192,13.900000,grasp,True,0.600,0.050
193,13.900000,grasp,True,0.600,0.050
194,13.900000,grasp,True,0.600,0.050
195,13.900000,grasp,True,0.600,0.050
196,13.900000,grasp,True,0.600,0.050
197,13.900000,grasp,True,0.600,0.050
198,13.900000,grasp,True,0.600,0.050
199,13.900000,grasp,True,0.600,0.050
200,13.900000,grasp,True,0.600,0.050
201,13.900000,grasp,True,0.600,0.050
202,13.900000,grasp,True,0.600,0.050
203,13.900000,grasp,True,0.600,0.050
204,13.900000,grasp,True,0.600,0.050
205,13.900000,grasp,True,0.600,0.050
206,13.900000,grasp,True,0.600,0.050
207,13.900000,grasp,True,0.600,0.050
208,13.900000,grasp,True,0.600,0.050
209,13.900000,grasp,True,0.600,0.050
210,13.900000,grasp,True,0.600,0.050
211,13.900000,grasp,True,0.600,0.050
212,13.900000,grasp,True,0.600,0.050
213,13.900000,grasp,True,0.600,0.050
214,13.900000,grasp,True,0.600,0.050
215,13.900000,grasp,True,0.600,0.050
216,13.900000,grasp,True,0.600,0.050
217,13.900000,grasp,True,0.600,0.050
218,13.900000,grasp,True,0.600,0.050
219,13.900000,grasp,True,0.600,0.050
220,13.900000,grasp,True,0.600,0.050
221,13.900000,grasp,True,0.600,0.050
222,13.900000,grasp,True,0.600,0.050
223,13.900000,grasp,True,0.600,0.050
224,13.900000,grasp,True,0.600,0.050
225,13.900000,grasp,True,0.600,0.050
226,13.900000,grasp,True,0.600,0.050
227,13.900000,grasp,True,0.600,0.050
228,13.900000,grasp,True,0.600,0.050
229,13.900000,grasp,True,0.600,0.050
230,13.900000,grasp,True,0.600,0.050
231,13.900000,grasp,True,0.600,0.050
232,13.900000,grasp,True,0.600,0.050
233,13.900000,grasp,True,0.600,0.050
