Step,Reward,Phase,Contact,GraspForce,CubeHeight,StableSteps
0,0.000000,lift,True,0.900,0.082,10
1,0.000000,lift,True,0.900,0.082,10
2,0.000000,lift,True,0.900,0.082,10
3,0.000000,lift,True,0.900,0.082,10
4,0.000000,lift,True,0.900,0.082,10
5,0.000000,lift,True,0.900,0.082,10
6,0.000000,lift,True,0.900,0.082,10
7,0.000000,lift,True,0.900,0.082,10
8,0.000000,lift,True,0.900,0.082,10
9,0.000000,lift,True,0.900,0.082,10
10,0.000000,lift,True,0.900,0.082,10
11,0.000000,lift,True,0.900,0.082,10
12,0.000000,lift,True,0.900,0.082,10
13,0.000000,lift,True,0.900,0.082,10
14,0.000000,lift,True,0.900,0.082,10
15,0.000000,lift,True,0.900,0.082,10
16,0.000000,lift,True,0.900,0.082,10
17,0.000000,lift,True,0.900,0.082,10
18,0.000000,lift,True,0.900,0.082,10
19,0.000000,lift,True,0.900,0.082,10
20,0.000000,lift,True,0.900,0.082,10
21,0.000000,lift,True,0.900,0.082,10
22,0.000000,lift,True,0.900,0.082,10
23,0.000000,lift,True,0.900,0.082,10
24,0.000000,lift,True,0.900,0.082,10
25,0.000000,lift,True,0.900,0.082,10
26,0.000000,lift,True,0.900,0.082,10
27,10.000000,lift,True,0.900,0.082,10
28,15.386000,lift,True,0.900,0.082,10
29,15.386000,lift,True,0.900,0.082,10
30,15.386000,lift,True,0.900,0.082,10
31,15.386000,lift,True,0.900,0.082,10
32,15.386000,lift,True,0.900,0.082,10
33,15.386000,lift,True,0.900,0.082,10
34,15.386000,lift,True,0.900,0.082,10
35,15.386000,lift,True,0.900,0.082,10
36,15.386000,lift,True,0.900,0.082,10
37,15.386000,lift,True,0.900,0.082,10
38,15.486000,lift,True,0.900,0.082,10
39,15.502000,lift,True,0.900,0.082,10
40,15.518000,lift,True,0.900,0.082,10
41,15.534000,lift,True,0.900,0.082,10
42,65.550000,lift,True,0.900,0.082,10
