#{"t_start": 1754825888.5967047, "env_id": "None"}
r,l,t
-10.0,1,0.860415
-10.0,1,0.86805
-10.0,1,0.880344
-10.0,1,0.889333
-10.0,1,0.900074
-10.0,1,0.911494
-10.0,1,0.919214
-10.0,1,0.929543
-10.0,1,0.939719
-10.0,1,0.94711
-10.0,1,0.955282
-10.0,1,0.96347
-10.0,1,0.972255
-10.0,1,0.979726
-10.0,1,0.988704
-10.0,1,0.997151
-10.0,1,1.008461
-10.0,1,1.017399
-10.0,1,1.025584
-10.0,1,1.033109
-10.0,1,1.044184
-10.0,1,1.0528
-10.0,1,1.060589
-10.0,1,1.070472
-10.0,1,1.081215
-10.0,1,1.08884
-10.0,1,1.097111
-10.0,1,1.106476
-10.0,1,1.116507
-10.0,1,1.124951
-10.0,1,1.137818
-10.0,1,1.147914
-10.0,1,1.158597
-10.0,1,1.171579
-10.0,1,1.178895
-10.0,1,1.190227
-10.0,1,1.205849
-10.0,1,1.214092
-10.0,1,1.22144
-10.0,1,1.230067
-10.0,1,1.240734
-10.0,1,1.248566
-10.0,1,1.256893
-10.0,1,1.266354
-10.0,1,1.280359
-10.0,1,1.287723
-10.0,1,1.295259
-10.0,1,1.303631
-10.0,1,1.314305
-10.0,1,1.322717
-10.0,1,1.330638
-10.0,1,1.338518
-10.0,1,1.349226
-10.0,1,1.356999
-10.0,1,1.364545
-10.0,1,1.372852
-10.0,1,1.386603
-10.0,1,1.393801
-10.0,1,1.405227
-10.0,1,1.413393
-10.0,1,1.424645
-10.0,1,1.432622
-10.0,1,1.440664
-10.0,1,1.449096
-10.0,1,1.460374
-10.0,1,1.469025
-10.0,1,1.476822
-10.0,1,1.486467
-10.0,1,1.497711
-10.0,1,1.506163
-10.0,1,1.515008
-10.0,1,1.522903
-10.0,1,1.53411
-10.0,1,1.543502
-10.0,1,1.55164
-10.0,1,1.560382
-10.0,1,1.570669
-10.0,1,1.579576
-10.0,1,1.587601
-10.0,1,1.596616
-10.0,1,1.607871
-10.0,1,1.616671
-10.0,1,1.624644
-10.0,1,1.632272
-10.0,1,1.644349
-10.0,1,1.654553
-10.0,1,1.661827
-10.0,1,1.669462
-10.0,1,1.679833
-10.0,1,1.687847
-10.0,1,1.697284
-10.0,1,1.70588
-10.0,1,1.71613
-10.0,1,1.723423
-10.0,1,1.731306
-10.0,1,1.739181
-10.0,1,1.749647
-10.0,1,1.757751
-10.0,1,1.765495
-10.0,1,1.773495
-10.0,1,1.783822
-10.0,1,1.791153
-10.0,1,1.802376
-10.0,1,1.810811
-10.0,1,1.820884
-10.0,1,1.828708
-10.0,1,1.83685
-10.0,1,1.844505
-10.0,1,1.854745
-10.0,1,1.862785
-10.0,1,1.870604
-10.0,1,1.878749
-10.0,1,1.888994
-10.0,1,1.900446
-10.0,1,1.908154
-10.0,1,1.915965
-10.0,1,1.926324
-10.0,1,1.934376
-10.0,1,1.942319
-10.0,1,1.950012
-10.0,1,1.960568
-10.0,1,1.968516
-10.0,1,1.97669
-10.0,1,1.984248
-10.0,1,1.994664
-10.0,1,2.004988
-10.0,1,2.012642
-10.0,1,2.025617
-10.0,1,2.035974
-10.0,1,2.044337
-10.0,1,2.052167
-10.0,1,2.06086
-10.0,1,2.071995
-10.0,1,2.079428
-10.0,1,2.087491
-10.0,1,2.095571
-10.0,1,2.108105
-10.0,1,2.116561
-10.0,1,2.124738
-10.0,1,2.132738
-10.0,1,2.144257
-10.0,1,2.151926
-10.0,1,2.160079
-10.0,1,2.167654
-10.0,1,2.177535
-10.0,1,2.185465
-10.0,1,2.193145
-10.0,1,2.201345
-10.0,1,2.215144
-10.0,1,2.223327
-10.0,1,2.231401
-10.0,1,2.241591
-10.0,1,2.251919
-10.0,1,2.26053
-10.0,1,2.269155
-10.0,1,2.278266
-10.0,1,2.289716
-10.0,1,2.29788
-10.0,1,2.306354
-10.0,1,2.316473
-10.0,1,2.328414
-10.0,1,2.336838
-10.0,1,2.346481
-10.0,1,2.356264
-10.0,1,2.368412
-10.0,1,2.376816
-10.0,1,2.385197
-10.0,1,2.394052
-10.0,1,2.405192
-10.0,1,2.414153
-10.0,1,2.424298
-10.0,1,2.433009
-10.0,1,2.443913
-10.0,1,2.453034
-10.0,1,2.460932
-10.0,1,2.469232
-10.0,1,2.480124
-10.0,1,2.488289
-10.0,1,2.496342
-10.0,1,2.504286
-10.0,1,2.515317
-10.0,1,2.524846
-10.0,1,2.533309
-10.0,1,2.541923
-10.0,1,2.552897
-10.0,1,2.561108
-10.0,1,2.569031
-10.0,1,2.57739
-10.0,1,2.588695
-10.0,1,2.596667
-10.0,1,2.604365
-10.0,1,2.61203
-10.0,1,2.624518
-10.0,1,2.632559
-10.0,1,2.64077
-10.0,1,2.64864
-10.0,1,2.658927
-10.0,1,2.666925
-10.0,1,2.675249
-10.0,1,2.683608
-10.0,1,2.694641
-10.0,1,2.702702
-10.0,1,2.711339
-10.0,1,2.718919
-10.0,1,2.734625
-10.0,1,2.742996
-10.0,1,2.750587
-10.0,1,2.758637
-10.0,1,2.769827
-10.0,1,2.777349
-10.0,1,2.785144
-10.0,1,2.793562
-10.0,1,2.804337
-10.0,1,2.812145
-10.0,1,2.818882
-10.0,1,2.826264
-10.0,1,2.838134
-10.0,1,2.845678
-10.0,1,2.853606
-10.0,1,2.861596
-10.0,1,2.872859
-10.0,1,2.881614
-10.0,1,2.891025
-10.0,1,2.897615
-10.0,1,2.907374
-10.0,1,2.913951
-10.0,1,2.920916
-10.0,1,2.928713
-10.0,1,2.940635
-10.0,1,2.949564
-10.0,1,2.959267
-10.0,1,2.967347
-10.0,1,2.976456
-10.0,1,2.984842
-10.0,1,2.992587
-10.0,1,3.000107
-10.0,1,3.010306
-10.0,1,3.018157
-10.0,1,3.025928
-10.0,1,3.033896
-10.0,1,3.046078
-10.0,1,3.053655
-10.0,1,3.060444
-10.0,1,3.067369
-10.0,1,3.077089
-10.0,1,3.084584
-10.0,1,3.092829
-10.0,1,3.100053
-10.0,1,3.110195
-10.0,1,3.118049
-10.0,1,3.126265
-10.0,1,3.134141
-10.0,1,3.146871
-10.0,1,3.155226
-10.0,1,3.163762
-10.0,1,3.171981
-10.0,1,3.182504
-10.0,1,3.19151
-10.0,1,3.199044
-10.0,1,3.206877
-10.0,1,3.217192
-10.0,1,3.225488
-10.0,1,3.23313
-10.0,1,3.241413
-10.0,1,3.254046
-10.0,1,3.263129
-10.0,1,3.271114
-10.0,1,3.2788
-10.0,1,3.289994
-10.0,1,3.297703
-10.0,1,3.30587
-10.0,1,3.314249
-10.0,1,3.324634
-10.0,1,3.333209
-10.0,1,3.341182
-10.0,1,3.352343
-10.0,1,3.362929
-10.0,1,3.370431
-10.0,1,3.377108
-10.0,1,3.384004
-10.0,1,3.394466
-10.0,1,3.40179
-10.0,1,3.409003
-10.0,1,3.416575
-10.0,1,3.426718
-10.0,1,3.434088
-10.0,1,3.441592
-10.0,1,3.451359
-10.0,1,3.460999
-10.0,1,3.468175
-10.0,1,3.474901
-10.0,1,3.48274
-10.0,1,3.492391
-10.0,1,3.499923
-10.0,1,3.507561
-10.0,1,3.515534
-10.0,1,3.525281
-10.0,1,3.534122
-10.0,1,3.542166
-10.0,1,3.550506
-10.0,1,3.562847
-10.0,1,3.570969
-10.0,1,3.578822
-10.0,1,3.58695
-10.0,1,3.598544
-10.0,1,3.606602
-10.0,1,3.614784
-10.0,1,3.623064
-10.0,1,3.633153
-10.0,1,3.641803
-10.0,1,3.649697
-10.0,1,3.661254
-10.0,1,3.673893
-10.0,1,3.680736
-10.0,1,3.687726
-10.0,1,3.696543
-10.0,1,3.707881
-10.0,1,3.715292
-10.0,1,3.722236
-10.0,1,3.730613
-10.0,1,3.741088
-10.0,1,3.749936
-10.0,1,3.761287
-10.0,1,3.768648
-10.0,1,3.779094
-10.0,1,3.790505
-10.0,1,3.798931
-10.0,1,3.806426
-10.0,1,3.816133
-10.0,1,3.824349
-10.0,1,3.836158
-10.0,1,3.843459
-10.0,1,3.854645
-10.0,1,3.863543
-10.0,1,3.871941
-10.0,1,3.881725
-10.0,1,3.891324
-10.0,1,3.898622
-10.0,1,3.90618
-10.0,1,3.914333
-10.0,1,3.92513
-10.0,1,3.934163
-10.0,1,3.945168
-10.0,1,3.958593
-10.0,1,3.974605
-10.0,1,3.983324
-10.0,1,3.990493
-10.0,1,3.998839
-10.0,1,4.009403
-10.0,1,4.017714
-10.0,1,4.025434
-10.0,1,4.033744
-10.0,1,4.045671
-10.0,1,4.054417
-10.0,1,4.062853
-10.0,1,4.070885
-10.0,1,4.084281
-10.0,1,4.092639
-10.0,1,4.10018
-10.0,1,4.108261
-10.0,1,4.119084
-10.0,1,4.12712
-10.0,1,4.134683
-10.0,1,4.143489
-10.0,1,4.154103
-10.0,1,4.16274
-10.0,1,4.17554
-10.0,1,4.185961
-10.0,1,4.195995
-10.0,1,4.206312
-10.0,1,4.213514
-10.0,1,4.222653
-10.0,1,4.234349
-10.0,1,4.242786
-10.0,1,4.251164
-10.0,1,4.259392
-10.0,1,4.270669
-10.0,1,4.278383
-10.0,1,4.288612
-10.0,1,4.295465
-10.0,1,4.305014
-10.0,1,4.311296
-10.0,1,4.318001
-10.0,1,4.326367
-10.0,1,4.336737
-10.0,1,4.344143
-10.0,1,4.352323
-10.0,1,4.360089
-10.0,1,4.371676
-10.0,1,4.379191
-10.0,1,4.386827
-10.0,1,4.393083
-10.0,1,4.403984
-10.0,1,4.411883
-10.0,1,4.419634
-10.0,1,4.427145
-10.0,1,4.438043
-10.0,1,4.445796
-10.0,1,4.454205
-10.0,1,4.462071
-10.0,1,4.473445
-10.0,1,4.481108
-10.0,1,4.489243
-10.0,1,4.500574
-10.0,1,4.511565
-10.0,1,4.518718
-10.0,1,4.526186
-10.0,1,4.534018
-10.0,1,4.545358
-10.0,1,4.553162
-10.0,1,4.561673
-10.0,1,4.569595
-10.0,1,4.579917
-10.0,1,4.587566
-10.0,1,4.597837
-10.0,1,4.605958
-10.0,1,4.616251
-10.0,1,4.624639
-10.0,1,4.633026
-10.0,1,4.641234
-10.0,1,4.651224
-10.0,1,4.659337
-10.0,1,4.667073
-10.0,1,4.675602
-10.0,1,4.686062
-10.0,1,4.69389
-10.0,1,4.701511
-10.0,1,4.711142
-10.0,1,4.722746
-10.0,1,4.730203
-10.0,1,4.738661
-10.0,1,4.746527
-10.0,1,4.757235
-10.0,1,4.765056
-10.0,1,4.772646
-10.0,1,4.780807
-10.0,1,4.791733
-10.0,1,4.799603
-10.0,1,4.809159
-10.0,1,4.816639
-10.0,1,4.827105
-10.0,1,4.834748
-10.0,1,4.842396
-10.0,1,4.850914
-10.0,1,4.863173
-10.0,1,4.870677
-10.0,1,4.878762
-10.0,1,4.886302
-10.0,1,4.897129
-10.0,1,4.904688
-10.0,1,4.916174
-10.0,1,4.923558
-10.0,1,4.933903
-10.0,1,4.941312
-10.0,1,4.950294
-10.0,1,4.958193
-10.0,1,4.968624
-10.0,1,4.976202
-10.0,1,4.98432
-10.0,1,4.992449
-10.0,1,5.003222
-10.0,1,5.013838
-10.0,1,5.021594
-10.0,1,5.029329
-10.0,1,5.039494
-10.0,1,5.047757
-10.0,1,5.055653
-10.0,1,5.063622
-10.0,1,5.075609
-10.0,1,5.083582
-10.0,1,5.091968
-10.0,1,5.099565
-10.0,1,5.11005
-10.0,1,5.119589
-10.0,1,5.127649
-10.0,1,5.135507
-10.0,1,5.145878
-10.0,1,5.154032
-10.0,1,5.16213
-10.0,1,5.170025
-10.0,1,5.18087
-10.0,1,5.189183
-10.0,1,5.197605
-10.0,1,5.207401
-10.0,1,5.221531
-10.0,1,5.229839
-10.0,1,5.23739
-10.0,1,5.245485
-10.0,1,5.255947
-10.0,1,5.264443
-10.0,1,5.272166
-10.0,1,5.280398
-10.0,1,5.290747
-10.0,1,5.298702
-10.0,1,5.306748
-10.0,1,5.315962
-10.0,1,5.328491
-10.0,1,5.336192
-10.0,1,5.344304
-10.0,1,5.35262
-10.0,1,5.362986
-10.0,1,5.370759
-10.0,1,5.378641
-10.0,1,5.386815
-10.0,1,5.397795
-10.0,1,5.405585
-10.0,1,5.412121
-10.0,1,5.418725
-10.0,1,5.4281
-10.0,1,5.436666
-10.0,1,5.443812
-10.0,1,5.450463
-10.0,1,5.460427
-10.0,1,5.467846
-10.0,1,5.475761
-10.0,1,5.482465
-10.0,1,5.492333
-10.0,1,5.500056
-10.0,1,5.507948
-10.0,1,5.516171
-10.0,1,5.527734
-10.0,1,5.537271
-10.0,1,5.54513
-10.0,1,5.553953
-10.0,1,5.564592
-10.0,1,5.572437
-10.0,1,5.581058
-10.0,1,5.58868
-10.0,1,5.597624
-10.0,1,5.604409
-10.0,1,5.611385
-10.0,1,5.618798
-10.0,1,5.629172
-10.0,1,5.638736
-10.0,1,5.645405
-10.0,1,5.652093
-10.0,1,5.662194
-10.0,1,5.66935
-10.0,1,5.677322
-10.0,1,5.684196
-10.0,1,5.692887
-10.0,1,5.699808
-10.0,1,5.706566
-10.0,1,5.713743
-10.0,1,5.723073
-10.0,1,5.730915
-10.0,1,5.739796
-10.0,1,5.746345
-10.0,1,5.754749
-10.0,1,5.762269
-10.0,1,5.769072
-10.0,1,5.77726
-10.0,1,5.787236
-10.0,1,5.794775
-10.0,1,5.802621
-10.0,1,5.81007
-10.0,1,5.82001
-10.0,1,5.82789
-10.0,1,5.835561
-10.0,1,5.844108
-10.0,1,5.854058
-10.0,1,5.861398
-10.0,1,5.869339
-10.0,1,5.876875
-10.0,1,5.886666
-10.0,1,5.894584
-10.0,1,5.902254
-10.0,1,5.909951
-10.0,1,5.920149
-10.0,1,5.928158
-10.0,1,5.935699
-10.0,1,5.943533
-10.0,1,5.954862
-10.0,1,5.962791
-10.0,1,5.970266
-10.0,1,5.977685
-10.0,1,5.987731
-10.0,1,5.995607
-10.0,1,6.003095
-10.0,1,6.010554
-10.0,1,6.020371
-10.0,1,6.02789
-10.0,1,6.035468
-10.0,1,6.043569
-10.0,1,6.055257
-10.0,1,6.063061
-10.0,1,6.07114
-10.0,1,6.07841
-10.0,1,6.088859
-10.0,1,6.097367
-10.0,1,6.105883
-10.0,1,6.113316
-10.0,1,6.123496
-10.0,1,6.131424
-10.0,1,6.138823
-10.0,1,6.14633
-10.0,1,6.159447
-10.0,1,6.166903
-10.0,1,6.173817
-10.0,1,6.181761
-10.0,1,6.192044
-10.0,1,6.199725
-10.0,1,6.207718
-10.0,1,6.215726
-10.0,1,6.226415
-10.0,1,6.233871
-10.0,1,6.241166
-10.0,1,6.249245
-10.0,1,6.261106
-10.0,1,6.268357
-10.0,1,6.275614
-10.0,1,6.283156
