Step,Reward,Phase,Contact,GraspForce,CubeHeight,StableSteps
0,0.000000,grasp,True,0.600,0.050,0
1,0.000000,grasp,True,0.600,0.050,0
2,0.000000,grasp,True,0.600,0.050,0
3,0.000000,grasp,True,0.600,0.050,0
4,0.000000,grasp,True,0.600,0.050,0
5,0.000000,grasp,True,0.600,0.050,0
6,0.000000,grasp,True,0.600,0.050,0
7,0.000000,grasp,True,0.600,0.050,0
8,0.000000,grasp,True,0.600,0.050,0
9,0.000000,grasp,True,0.600,0.050,0
10,0.000000,grasp,True,0.600,0.050,0
11,0.000000,grasp,True,0.600,0.050,0
12,0.000000,grasp,True,0.600,0.050,0
13,0.000000,grasp,True,0.600,0.050,0
14,0.000000,grasp,True,0.600,0.050,0
15,0.000000,grasp,True,0.600,0.050,0
16,0.000000,grasp,True,0.600,0.050,0
17,0.000000,grasp,True,0.600,0.050,0
18,0.000000,grasp,True,0.600,0.050,0
19,0.000000,grasp,True,0.600,0.050,0
20,0.000000,grasp,True,0.600,0.050,0
21,0.000000,grasp,True,0.600,0.050,0
22,0.000000,grasp,True,0.600,0.050,0
23,0.000000,grasp,True,0.600,0.050,0
24,0.000000,grasp,True,0.600,0.050,0
25,0.000000,grasp,True,0.600,0.050,0
26,0.000000,grasp,True,0.600,0.050,0
27,0.000000,grasp,True,0.600,0.050,0
28,0.000000,grasp,True,0.600,0.050,0
29,0.000000,grasp,True,0.600,0.050,0
30,0.000000,grasp,True,0.600,0.050,0
31,0.000000,grasp,True,0.600,0.050,0
32,0.000000,grasp,True,0.600,0.050,0
33,0.000000,grasp,True,0.600,0.050,0
34,10.000000,grasp,True,0.600,0.050,0
35,13.900000,grasp,True,0.600,0.050,0
36,13.900000,grasp,True,0.600,0.050,0
37,13.900000,grasp,True,0.600,0.050,0
38,13.900000,grasp,True,0.600,0.050,0
39,13.900000,grasp,True,0.600,0.050,0
40,13.900000,grasp,True,0.600,0.050,0
41,13.900000,grasp,True,0.600,0.050,0
42,13.900000,grasp,True,0.600,0.050,0
43,13.900000,grasp,True,0.600,0.050,0
44,13.900000,grasp,True,0.600,0.050,0
45,13.900000,grasp,True,0.600,0.050,0
46,13.900000,grasp,True,0.600,0.050,0
47,13.900000,grasp,True,0.600,0.050,0
48,13.900000,grasp,True,0.600,0.050,0
49,13.900000,grasp,True,0.600,0.050,0
50,13.900000,grasp,True,0.600,0.050,0
51,13.900000,grasp,True,0.600,0.050,0
52,13.900000,grasp,True,0.600,0.050,0
53,13.900000,grasp,True,0.600,0.050,0
54,13.900000,grasp,True,0.600,0.050,0
55,13.900000,grasp,True,0.600,0.050,0
56,13.900000,grasp,True,0.600,0.050,0
57,13.900000,grasp,True,0.600,0.050,0
58,13.900000,grasp,True,0.600,0.050,0
59,13.900000,grasp,True,0.600,0.050,0
60,13.900000,grasp,True,0.600,0.050,0
61,13.900000,grasp,True,0.600,0.050,0
62,13.900000,grasp,True,0.600,0.050,0
63,13.900000,grasp,True,0.600,0.050,0
64,13.900000,grasp,True,0.600,0.050,0
65,13.900000,grasp,True,0.600,0.050,0
66,13.900000,grasp,True,0.600,0.050,0
67,13.900000,grasp,True,0.600,0.050,0
68,13.900000,grasp,True,0.600,0.050,0
69,13.900000,grasp,True,0.600,0.050,0
70,13.900000,grasp,True,0.600,0.050,0
71,13.900000,grasp,True,0.600,0.050,0
72,13.900000,grasp,True,0.600,0.050,0
73,13.900000,grasp,True,0.600,0.050,0
74,13.900000,grasp,True,0.600,0.050,0
75,13.900000,grasp,True,0.600,0.050,0
76,13.900000,grasp,True,0.600,0.050,0
77,13.900000,grasp,True,0.600,0.050,0
78,13.900000,grasp,True,0.600,0.050,0
79,13.900000,grasp,True,0.600,0.050,0
80,13.900000,grasp,True,0.600,0.050,0
81,13.900000,grasp,True,0.600,0.050,0
82,13.900000,grasp,True,0.600,0.050,0
83,13.900000,grasp,True,0.600,0.050,0
84,13.900000,grasp,True,0.600,0.050,0
85,13.900000,grasp,True,0.600,0.050,0
86,13.900000,grasp,True,0.600,0.050,0
87,13.900000,grasp,True,0.600,0.050,0
88,13.900000,grasp,True,0.600,0.050,0
89,13.900000,grasp,True,0.600,0.050,0
90,13.900000,grasp,True,0.600,0.050,0
91,13.900000,grasp,True,0.600,0.050,0
92,13.900000,grasp,True,0.600,0.050,0
93,13.900000,grasp,True,0.600,0.050,0
94,13.900000,grasp,True,0.600,0.050,0
95,13.900000,grasp,True,0.600,0.050,0
96,13.900000,grasp,True,0.600,0.050,0
97,13.900000,grasp,True,0.600,0.050,0
98,13.900000,grasp,True,0.600,0.050,0
99,13.900000,grasp,True,0.600,0.050,0
100,13.900000,grasp,True,0.600,0.050,0
101,13.900000,grasp,True,0.600,0.050,0
102,13.900000,grasp,True,0.600,0.050,0
103,13.900000,grasp,True,0.600,0.050,0
104,13.900000,grasp,True,0.600,0.050,0
105,13.900000,grasp,True,0.600,0.050,0
106,13.900000,grasp,True,0.600,0.050,0
107,13.900000,grasp,True,0.600,0.050,0
108,13.900000,grasp,True,0.600,0.050,0
109,13.900000,grasp,True,0.600,0.050,0
110,13.900000,grasp,True,0.600,0.050,0
111,13.900000,grasp,True,0.600,0.050,0
112,13.900000,grasp,True,0.600,0.050,0
113,13.900000,grasp,True,0.600,0.050,0
114,13.900000,grasp,True,0.600,0.050,0
115,13.900000,grasp,True,0.600,0.050,0
116,13.900000,grasp,True,0.600,0.050,0
